year,month,month_code,district,total_snap_persons,total_snap_households,total_snap_benefits,temporary_assistance_snap_persons,non_temporary_assistance_snap_persons
2025,June,6,Oneida,36451,19652,7266300,8539,27912
2025,June,6,Onondaga,65454,36632,12891475,17768,47686
2025,June,6,Ontario,9172,5677,1716595,2084,7088
2025,June,6,Orange,44821,19360,8420420,6393,38428
2025,June,6,Orleans,5216,3105,918650,1234,3982
2025,June,6,Oswego,16913,9360,3108480,3339,13574
2025,June,6,Otsego,6654,3901,1198263,947,5707
2025,June,6,Putnam,2900,1992,572977,544,2356
2025,June,6,Rockland,53493,18749,10237005,3805,49688
2025,June,6,St. Lawrence,13522,7878,2510014,3098,10424
2025,June,6,Saratoga,14503,8963,2656691,2007,12496
2025,June,6,Schenectady,21268,11673,4248553,5083,16185
2025,June,6,Schoharie,3787,2223,678525,536,3251
2025,June,6,Schuyler,1822,1127,313693,285,1537
2025,June,6,Seneca,3500,2043,623391,730,2770
2025,June,6,Steuben,12166,6801,2122919,2594,9572
2025,June,6,Suffolk,126197,79484,27388681,20650,105547
2025,June,6,Sullivan,12970,6536,2612637,2095,10875
2025,June,6,Tioga,5173,2826,836568,821,4352
2025,June,6,Tompkins,7548,4736,1497212,1711,5837
2025,June,6,Ulster,17201,10874,3459551,3516,13685
2025,June,6,Warren,6848,4254,1272796,1184,5664
2025,June,6,Washington,6764,4022,1201402,1222,5542
2025,June,6,Wayne,8266,5022,1487384,1669,6597
2025,June,6,Westchester,73178,45159,15075732,17008,56170
2025,June,6,Wyoming,2411,1510,401041,544,1867
2025,June,6,Yates,2023,1245,344872,387,1636
2025,June,6,New York City,1796291,1076627,416152707,822177,974114
2025,July,7,Albany,31662,18352,6320865,7582,24080
2025,July,7,Allegany,5175,3061,900150,1068,4107
2025,July,7,Broome,26685,15571,5174238,7141,19544
2025,July,7,Cattaraugus,10459,6015,1839568,2512,7947
2025,July,7,Cayuga,8504,4978,1552073,1913,6591
2025,July,7,Chautauqua,23304,13156,4390832,6149,17155
2025,July,7,Chemung,14055,8065,2757104,2758,11297
2025,July,7,Chenango,6597,3864,1163429,1166,5431
2025,July,7,Clinton,11792,7406,2222606,2883,8909
2025,July,7,Columbia,5091,3279,959675,1196,3895
2025,July,7,Cortland,5470,3298,1038534,1091,4379
2025,July,7,Delaware,4642,2776,815579,769,3873
2025,July,7,Dutchess,17289,11247,3452882,3760,13529
2025,July,7,Erie,140550,78178,27781025,33350,107200
2025,July,7,Essex,2950,1882,529103,577,2373
2025,July,7,Franklin,6646,4026,1250401,1719,4927
2025,July,7,Fulton,7931,4900,1510071,1804,6127
2025,July,7,Genesee,4636,2900,806292,849,3787
2025,July,7,Greene,3951,2544,771197,886,3065
2025,July,7,Hamilton,361,202,57628,40,321
2025,July,7,Herkimer,8886,5198,1596253,1241,7645
2025,July,7,Jefferson,14061,8046,2602914,2539,11522
2025,July,7,Lewis,2730,1609,440967,434,2296
2025,July,7,Livingston,5116,3137,928260,1167,3949
2025,July,7,Madison,6224,3666,1148629,999,5225
2025,July,7,Monroe,106801,62476,21755029,27764,79037
2025,July,7,Montgomery,8125,4438,1507834,1676,6449
2025,July,7,Nassau,43404,31545,8506116,14121,29283
2025,July,7,Niagara,26934,16129,5160677,5434,21500
2025,July,7,Oneida,36497,19721,7070827,8530,27967
2025,July,7,Onondaga,65109,36557,12833887,17606,47503
2025,July,7,Ontario,9206,5675,1732610,2132,7074
2025,July,7,Orange,44578,19296,8390354,6345,38233
2025,July,7,Orleans,5146,3064,914923,1212,3934
2025,July,7,Oswego,16671,9252,3063372,3400,13271
2025,July,7,Otsego,6616,3886,1192691,927,5689
2025,July,7,Putnam,2933,2018,600152,542,2391
2025,July,7,Rensselaer,15887,8643,3042403,3471,12416
2025,July,7,Rockland,54082,18921,10433669,3902,50180
2025,July,7,St. Lawrence,13374,7798,2487507,3067,10307
2025,July,7,Saratoga,14288,8917,2639204,2025,12263
2025,July,7,Schenectady,21615,11799,4328930,5028,16587
2025,July,7,Schoharie,3688,2203,672796,538,3150
2025,July,7,Schuyler,1756,1108,305722,292,1464
2025,July,7,Seneca,3556,2061,633936,742,2814
2025,July,7,Steuben,12051,6777,2102485,2627,9424
2025,July,7,Suffolk,124604,78939,27087700,20793,103811
2025,July,7,Sullivan,12809,6445,2576252,2099,10710
2025,July,7,Tioga,5091,2795,834168,809,4282
2025,July,7,Tompkins,7471,4700,1479883,1727,5744
2025,July,7,New York City,1787477,1072314,416100336,821440,966037
2025,July,7,Ulster,16916,10768,3439576,3529,13387
2025,July,7,Warren,6789,4215,1261558,1181,5608
2025,July,7,Washington,6693,3988,1183060,1204,5489
2025,July,7,Wayne,8229,5016,1465398,1645,6584
2025,July,7,Westchester,72827,45008,15043873,16984,55843
2025,July,7,Wyoming,2431,1509,404012,544,1887
2025,July,7,Yates,2092,1274,354860,391,1701
2025,August,8,Chenango,6444,3829,1136672,1169,5275
2025,August,8,New York City,1775169,1065845,412582344,817091,958078
2025,August,8,Yates,2028,1246,342273,382,1646
2025,August,8,Wyoming,2431,1493,396233,522,1909
2025,August,8,Westchester,72262,44660,14838638,16953,55309
2025,August,8,Wayne,8142,4979,1448564,1626,6516
2025,August,8,Washington,6608,3956,1169140,1187,5421
2025,August,8,Warren,6640,4150,1229055,1164,5476
2025,August,8,Ulster,16666,10618,3377661,3470,13196
2025,August,8,Tompkins,7471,4698,1477603,1711,5760
2025,August,8,Tioga,4995,2763,814320,786,4209
2025,August,8,Sullivan,12696,6420,2528364,2130,10566
2025,August,8,Suffolk,122755,77791,26566809,20661,102094
2025,August,8,Steuben,11807,6691,2063809,2610,9197
2025,August,8,Seneca,3453,2024,609856,764,2689
2025,August,8,Schuyler,1742,1096,304685,292,1450
2025,August,8,Schoharie,3673,2187,663509,533,3140
2025,August,8,Schenectady,21698,11815,4323881,5027,16671
2025,August,8,Saratoga,14105,8852,2608335,2025,12080
2025,August,8,St. Lawrence,13281,7752,2460900,3023,10258
2025,August,8,Rockland,54187,18891,10389611,3873,50314
2025,August,8,Rensselaer,15850,8585,3015984,3434,12416
2025,August,8,Putnam,2867,1985,577559,540,2327
2025,August,8,Otsego,6464,3812,1173538,928,5536
2025,August,8,Oswego,16545,9176,3043155,3357,13188
2025,August,8,Orleans,5081,3026,907284,1202,3879
2025,August,8,Orange,44326,19074,8331145,6357,37969
2025,August,8,Ontario,9060,5628,1706403,2138,6922
2025,August,8,Onondaga,64376,36100,12636838,17405,46971
2025,August,8,Oneida,36249,19655,6974808,8474,27775
2025,August,8,Niagara,26641,15996,5092692,5440,21201
2025,August,8,Nassau,42900,31139,8383351,13961,28939
2025,August,8,Montgomery,8152,4444,1509235,1681,6471
2025,August,8,Monroe,105624,61945,21484314,27484,78140
2025,August,8,Madison,6183,3646,1116505,983,5200
2025,August,8,Livingston,5109,3124,921551,1156,3953
2025,August,8,Lewis,2720,1600,442063,429,2291
2025,August,8,Jefferson,13858,7932,2564633,2519,11339
2025,August,8,Herkimer,8781,5154,1579157,1261,7520
2025,August,8,Hamilton,346,199,56049,41,305
2025,August,8,Greene,3907,2518,764006,888,3019
2025,August,8,Genesee,4679,2904,817396,854,3825
2025,August,8,Fulton,7879,4857,1491610,1788,6091
2025,August,8,Franklin,6564,3999,1232052,1696,4868
2025,August,8,Essex,2919,1864,516880,564,2355
2025,August,8,Erie,139597,77561,27514926,33266,106331
2025,August,8,Dutchess,17107,11166,3371233,3752,13355
2025,August,8,Delaware,4643,2777,811147,754,3889
2025,August,8,Cortland,5449,3306,1031979,1067,4382
2025,August,8,Columbia,5085,3266,967552,1185,3900
2025,August,8,Clinton,11597,7297,2171396,2846,8751
2025,August,8,Chemung,13953,8024,2737652,2725,11228
2025,August,8,Chautauqua,23148,13099,4367593,6171,16977
2025,August,8,Cayuga,8359,4912,1523862,1913,6446
2025,August,8,Cattaraugus,10359,5980,1820518,2478,7881
2025,August,8,Broome,26636,15456,5123894,7001,19635
2025,August,8,Allegany,5089,3042,894989,1065,4024
2025,August,8,Albany,31539,18238,6268155,7479,24060
2025,September,9,Yates,1966,1230,333872,379,1587
2025,September,9,Albany,31290,18082,6196860,7500,23790
2025,September,9,Allegany,5071,3020,889887,1065,4006
2025,September,9,Broome,26467,15405,5064120,7054,19413
2025,September,9,Cattaraugus,10236,5925,1801123,2463,7773
2025,September,9,Cayuga,8313,4897,1508156,1911,6402
2025,September,9,Chautauqua,23011,13081,4323875,6216,16795
2025,September,9,Chemung,13957,8010,2726672,2659,11298
2025,September,9,Chenango,6430,3813,1124745,1152,5278
2025,September,9,Clinton,11530,7276,2147778,2873,8657
2025,September,9,Columbia,4980,3218,937735,1193,3787
2025,September,9,Cortland,5460,3296,1029913,1081,4379
2025,September,9,Delaware,4562,2747,803755,754,3808
2025,September,9,Dutchess,17038,11180,3355960,3713,13325
2025,September,9,Erie,138715,77274,27325644,33358,105357
2025,September,9,New York City,1777892,1068466,412761582,820222,957670
2025,September,9,Essex,2911,1847,513176,570,2341
2025,September,9,Franklin,6458,3959,1207912,1665,4793
2025,September,9,Fulton,7910,4875,1506741,1808,6102
2025,September,9,Genesee,4546,2853,784618,850,3696
2025,September,9,Greene,3887,2503,763652,884,3003
2025,September,9,Hamilton,328,196,51942,46,282
2025,September,9,Herkimer,8747,5129,1569115,1250,7497
2025,September,9,Jefferson,13638,7844,2528921,2489,11149
2025,September,9,Lewis,2678,1578,428038,418,2260
2025,September,9,Livingston,5064,3113,918166,1153,3911
2025,September,9,Madison,6123,3632,1102555,984,5139
2025,September,9,Monroe,104545,61363,21240774,27274,77271
2025,September,9,Montgomery,8028,4413,1492533,1675,6353
2025,September,9,Nassau,42612,30996,8327233,13975,28637
2025,September,9,Niagara,26488,15961,5051040,5443,21045
2025,September,9,Oneida,35759,19504,6870382,8370,27389
2025,September,9,Onondaga,64126,36029,12566425,17330,46796
2025,September,9,Ontario,9015,5625,1698853,2122,6893
2025,September,9,Orange,44360,19013,8284005,6284,38076
2025,September,9,Orleans,4984,2981,887350,1221,3763
2025,September,9,Oswego,16352,9120,3000102,3316,13036
2025,September,9,Otsego,6430,3816,1167232,944,5486
2025,September,9,Putnam,2851,1979,571112,542,2309
2025,September,9,Rensselaer,15721,8536,3011473,3385,12336
2025,September,9,Rockland,54079,18829,10286384,3869,50210
2025,September,9,St. Lawrence,13086,7683,2417224,3033,10053
2025,September,9,Saratoga,14031,8806,2604252,2058,11973
2025,September,9,Schenectady,21790,11855,4336337,5040,16750
2025,September,9,Schoharie,3611,2165,649878,530,3081
2025,September,9,Schuyler,1684,1076,294994,276,1408
2025,September,9,Seneca,3445,2007,608778,769,2676
2025,September,9,Steuben,11692,6654,2041634,2615,9077
2025,September,9,Suffolk,120975,76951,26112188,20672,100303
2025,September,9,Sullivan,12652,6382,2524363,2155,10497
2025,September,9,Tioga,4987,2764,811746,784,4203
2025,September,9,Tompkins,7422,4669,1466293,1656,5766
2025,September,9,Ulster,16457,10549,3331403,3529,12928
2025,September,9,Warren,6557,4110,1208005,1147,5410
2025,September,9,Washington,6553,3924,1159917,1161,5392
2025,September,9,Wayne,8112,4962,1432979,1592,6520
2025,September,9,Westchester,71781,44538,14787231,16885,54896
2025,September,9,Wyoming,2460,1510,407125,512,1948
2026,January,1,Schuyler,1679,1073,301963,289,1390
2026,January,1,Albany,29701,17344,5976879,7470,22231
2026,January,1,Allegany,5019,2980,875117,1056,3963
2026,January,1,Broome,25473,15044,4910529,6917,18556
2026,January,1,Cattaraugus,9915,5781,1773563,2375,7540
2026,January,1,Cayuga,7979,4745,1451582,1856,6123
2026,January,1,Chautauqua,22639,12897,4336894,6196,16443
2026,January,1,Chemung,13205,7618,2571416,2559,10646
2026,January,1,Chenango,6329,3757,1128469,1145,5184
2026,January,1,Clinton,11154,7125,2132672,2789,8365
2026,January,1,Columbia,4832,3207,926793,1141,3691
2026,January,1,Cortland,5305,3201,1007764,1071,4234
2026,January,1,Delaware,4528,2734,798856,732,3796
2026,January,1,Dutchess,16649,10974,3258701,3677,12972
2026,January,1,Erie,134094,75286,26844930,33064,101030
2026,January,1,Essex,2870,1817,505694,559,2311
2026,January,1,Franklin,6295,3863,1181611,1587,4708
2026,January,1,Fulton,7550,4706,1436191,1767,5783
2026,January,1,Genesee,4393,2768,782378,855,3538
2026,January,1,Greene,3740,2436,752257,897,2843
2026,January,1,Hamilton,323,197,51647,50,273
2026,January,1,Herkimer,8525,5004,1552534,1231,7294
2026,January,1,Jefferson,13240,7686,2542368,2532,10708
2026,January,1,Lewis,2600,1528,423553,386,2214
2026,January,1,Livingston,4752,2992,871872,1145,3607
2026,January,1,Madison,5764,3505,1060700,955,4809
2026,January,1,Monroe,99483,58948,20552605,26105,73378
2026,January,1,Montgomery,7739,4292,1451083,1624,6115
2026,January,1,Nassau,41149,30199,8158782,13716,27433
2026,January,1,Niagara,25633,15520,4926983,5406,20227
2026,January,1,Oneida,34319,18902,6758022,8341,25978
2026,January,1,Onondaga,61527,34704,12235261,16927,44600
2026,January,1,Ontario,9091,5689,1726637,2111,6980
2026,January,1,Orange,43478,18466,8158909,6248,37230
2026,January,1,Orleans,4869,2957,875098,1244,3625
2026,January,1,Oswego,16256,9084,3013154,3056,13200
2026,January,1,Otsego,6368,3791,1199210,915,5453
2026,January,1,Putnam,2762,1928,561807,542,2220
2026,January,1,Rensselaer,15232,8301,2942535,3368,11864
2026,January,1,Rockland,50698,17523,10093568,3759,46939
2026,January,1,St. Lawrence,12710,7521,2428907,3015,9695
2026,January,1,Saratoga,13503,8560,2520288,2071,11432
2026,January,1,Schenectady,20786,11404,4165476,4958,15828
2026,January,1,Schoharie,3583,2154,636256,552,3031
2026,January,1,Seneca,3391,1969,599929,735,2656
2026,January,1,Steuben,11376,6515,1975554,2645,8731
2026,January,1,Suffolk,119912,76385,26154576,20186,99726
2026,January,1,Sullivan,12369,6220,2577120,2098,10271
2026,January,1,Tioga,4853,2692,805535,758,4095
2026,January,1,Tompkins,7159,4567,1427012,1611,5548
2026,January,1,Ulster,15666,10109,3220533,3512,12154
2026,January,1,Warren,6489,4053,1191752,1152,5337
2026,January,1,Washington,6602,3931,1166686,1085,5517
2026,January,1,Wayne,7545,4745,1379161,1528,6017
2026,January,1,Westchester,69095,43382,14454686,16536,52559
2026,January,1,Wyoming,2540,1545,422215,505,2035
2026,January,1,Yates,1948,1209,328879,351,1597
2026,January,1,New York City,1716384,1035111,406983964,802491,913893
2026,February,2,Albany,29318,17153,5859025,7428,21890
2026,February,2,Allegany,5009,2973,876751,1050,3959
2026,February,2,Broome,25407,14988,4875794,6878,18529
2026,February,2,Cattaraugus,9915,5804,1761596,2368,7547
2026,February,2,Cayuga,7976,4727,1454697,1862,6114
2026,February,2,Chautauqua,22653,12915,4317074,6208,16445
2026,February,2,Chemung,13177,7581,2568604,2516,10661
2026,February,2,Chenango,6281,3730,1103353,1151,5130
2026,February,2,Clinton,11014,7040,2105139,2741,8273
2026,February,2,Columbia,4803,3180,904725,1142,3661
2026,February,2,Cortland,5356,3204,1027220,1064,4292
2026,February,2,Delaware,4439,2692,784256,731,3708
2026,February,2,Dutchess,16507,10899,3191673,3603,12904
2026,February,2,Erie,132985,74800,26537366,32883,100102
2026,February,2,Essex,2828,1797,494505,552,2276
2026,February,2,Franklin,6389,3901,1183399,1612,4777
2026,February,2,Fulton,7578,4696,1454562,1756,5822
2026,February,2,Genesee,4382,2773,765091,867,3515
2026,February,2,Greene,3706,2406,753817,890,2816
2026,February,2,Hamilton,328,200,52370,50,278
2026,February,2,Herkimer,8434,4942,1518361,1223,7211
2026,February,2,Jefferson,13184,7679,2528725,2555,10629
2026,February,2,Lewis,2584,1528,417597,385,2199
2026,February,2,Livingston,4824,3013,888368,1165,3659
2026,February,2,Madison,5838,3523,1068636,949,4889
2026,February,2,Monroe,99149,58798,20542976,25985,73164
2026,February,2,Montgomery,7787,4296,1456701,1604,6183
2026,February,2,Nassau,40894,30033,8089987,13629,27265
2026,February,2,Niagara,25656,15543,4932604,5324,20332
2026,February,2,Oneida,34055,18820,6706572,8285,25770
2026,February,2,Onondaga,61378,34679,12254366,16897,44481
2026,February,2,Ontario,9140,5726,1729872,2125,7015
2026,February,2,Orange,42828,18275,8059592,6150,36678
2026,February,2,Orleans,4836,2963,877333,1250,3586
2026,February,2,Oswego,16350,9135,3017246,3084,13266
2026,February,2,Otsego,6345,3805,1183562,936,5409
2026,February,2,Putnam,2736,1918,551476,533,2203
2026,February,2,Rensselaer,15127,8253,2916768,3308,11819
2026,February,2,Rockland,50454,17325,10076762,3743,46711
2026,February,2,St. Lawrence,12611,7479,2404322,2988,9623
2026,February,2,Saratoga,13364,8458,2459503,2095,11269
2026,February,2,Schenectady,20544,11288,4096572,4929,15615
2026,February,2,Schoharie,3588,2172,635431,548,3040
2026,February,2,Schuyler,1692,1072,300790,288,1404
2026,February,2,Seneca,3327,1947,587631,700,2627
2026,February,2,Steuben,11405,6504,1972406,2641,8764
2026,February,2,Suffolk,117734,75255,25626885,19941,97793
2026,February,2,Sullivan,12213,6158,2528636,2082,10131
2026,February,2,Tioga,4837,2685,791523,753,4084
2026,February,2,Tompkins,7144,4557,1425274,1627,5517
2026,February,2,Ulster,15579,10048,3206172,3494,12085
2026,February,2,Warren,6453,4046,1177700,1149,5304
2026,February,2,Washington,6620,3934,1176687,1063,5557
2026,February,2,Wayne,7507,4713,1376837,1527,5980
2026,February,2,Westchester,68087,42950,14173555,16351,51736
2026,February,2,Wyoming,2548,1559,422071,503,2045
2026,February,2,Yates,1928,1211,325909,357,1571
2026,February,2,New York City,1701491,1027485,403033913,799945,901546
2026,March,3,Albany,29367,17171,5879955,7429,21938
2026,March,3,Allegany,5010,2986,881577,1064,3946
2026,March,3,Broome,25384,15022,4872391,6953,18431
2026,March,3,Cattaraugus,9940,5835,1767522,2371,7569
2026,March,3,Cayuga,8056,4752,1454137,1845,6211
2026,March,3,Chautauqua,22686,12935,4308495,6220,16466
2026,March,3,Chemung,13127,7598,2560237,2549,10578
2026,March,3,Chenango,6281,3723,1104180,1142,5139
2026,March,3,Clinton,10962,7032,2087903,2742,8220
2026,March,3,Columbia,4824,3192,907476,1151,3673
2026,March,3,Cortland,5341,3213,1024611,1087,4254
2026,March,3,Delaware,4470,2704,781575,732,3738
2026,March,3,Dutchess,16667,11023,3243397,3665,13002
2026,March,3,Erie,132933,74880,26706152,32542,100391
2026,March,3,Essex,2754,1774,485958,541,2213
2026,March,3,Franklin,6386,3907,1183507,1608,4778
2026,March,3,Fulton,7555,4714,1433968,1772,5783
2026,March,3,Genesee,4420,2788,780664,872,3548
2026,March,3,Greene,3782,2459,782055,920,2862
2026,March,3,Hamilton,335,204,54380,54,281
2026,March,3,Herkimer,8375,4939,1518345,1207,7168
2026,March,3,Jefferson,13292,7733,2575067,2581,10711
2026,March,3,Lewis,2584,1527,415048,393,2191
2026,March,3,Livingston,4809,3006,880573,1167,3642
2026,March,3,Madison,5866,3529,1066408,946,4920
2026,March,3,Monroe,99423,58971,20581180,25857,73566
2026,March,3,Montgomery,7759,4315,1452417,1598,6161
2026,March,3,Nassau,41058,30171,8164410,13686,27372
2026,March,3,Niagara,25625,15528,4925183,5276,20349
2026,March,3,Oneida,34266,18940,6754159,8332,25934
2026,March,3,Onondaga,61776,34817,12340694,16811,44965
2026,March,3,Ontario,9278,5806,1746293,2098,7180
2026,March,3,Orange,43752,18569,8292446,6244,37508
2026,March,3,Orleans,4856,2971,882560,1235,3621
2026,March,3,Oswego,16206,9110,3029740,3101,13105
2026,March,3,Otsego,6438,3863,1209589,972,5466
2026,March,3,Putnam,2825,1959,573650,538,2287
2026,March,3,Rensselaer,15109,8320,2917254,3375,11734
2026,March,3,Rockland,50338,17254,9980693,3709,46629
2026,March,3,St. Lawrence,12713,7572,2446792,3017,9696
2026,March,3,Saratoga,13347,8454,2451140,2088,11259
2026,March,3,Schenectady,20155,11219,4030316,4891,15264
2026,March,3,Schoharie,3573,2163,627377,536,3037
2026,March,3,Schuyler,1709,1081,303365,286,1423
2026,March,3,Seneca,3267,1940,580542,719,2548
2026,March,3,Steuben,11397,6522,1984719,2682,8715
2026,March,3,Suffolk,117020,74976,25592682,19951,97069
2026,March,3,Sullivan,12428,6262,2566358,2131,10297
2026,March,3,Tioga,4884,2698,805218,737,4147
2026,March,3,Tompkins,7209,4587,1427155,1611,5598
2026,March,3,Ulster,15685,10159,3215437,3542,12143
2026,March,3,Warren,6543,4089,1204072,1163,5380
2026,March,3,Washington,6519,3902,1164666,1056,5463
2026,March,3,Wayne,7483,4718,1381914,1532,5951
2026,March,3,Westchester,67923,42936,14175403,16303,51620
2026,March,3,Wyoming,2577,1581,429190,524,2053
2026,March,3,Yates,1892,1198,319162,350,1542
2026,March,3,New York City,1703098,1028269,403084912,798646,904452
